 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
    1070.0       0.51     121.36        9.0        123       1071       1090        672        3.5        668         11          0          0          0          0          0       0.01          0          0 
    1075.0       0.71      84.41        9.3        108       1173       1044        651        4.1        795         11          0          0          0          0          0       0.00          0          0 
    1080.0       0.83      72.58       14.0         71        966       1057        651        1.9        311          0          0          0          0          0          0       0.00          0          0 
    1085.0       0.73      81.75       16.8         71       1336       1066        651        2.6        424          0          0          0          0          0          0       0.00          0          0 
    1090.0       0.65      92.40       15.1         71       1100       1064        651        2.8        464          0          0          0          0          0          0       0.01          0          0 
    1095.0       0.59     100.91        9.5         71        707       1049        651        4.9        927         14          0          0          0          0          0       0.00          0          0 
    1100.0       0.56     107.24       13.8         71        819       1072        651        5.0        956         15          0          0          0          0          0       0.00          0          0 
    1105.0       0.55     109.24       13.3         71        752       1064        651        5.0        943         14          0          0          0          0          0       0.00          0          0 
    1110.0       0.59     101.42       12.7         71        773       1064        651        5.4       1016         14          0          0          0          0          0       0.01          0          0 
    1115.0       0.60     103.36        8.6        109       1275       1034        651        5.5       1023         16          0          0          0          0          0       0.00          0          0 
    1120.0       0.53     113.81        7.8        122       1840       1046        651        4.7        824         13          0          0          0          0          0       0.00          0          0 
    1125.0       0.59     101.66        8.3        122       1827       1051        651        4.8        893         12          0          0          0          0          0       0.00          0          0 
    1130.0       0.51     117.28        6.0        122       1560       1039        651        5.2        967         12          0          0          0          0          0       0.00          0          0 
    1135.0       0.72      83.71        8.1        122       2051       1046        651        6.0       1097         14          0          0          0          0          0       0.00          0          0 
    1140.0       0.67      89.92        8.0        122       1789       1057        651        5.4        884         10          0          0          0          0          0       0.01          0          0 
    1145.0       0.79      75.65        8.5        122       1910       1065        651        3.8        713          0          0          0          0          0          0       0.00          0          0 
