 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
    1035.0       0.35     171.16        2.0        131       1997        743        581        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1040.0       0.34     178.19        2.6        141       2002        995        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1045.0       0.42     143.63        3.6        141       2142       1000        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1050.0       0.32     187.40        2.6        141       2025        998        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1055.0       0.37     163.51        2.2        140       1684        962        688        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1060.0       0.33     183.48        1.6        139       1844        925        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1065.0       0.33     183.48        1.1        139       1711        919        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1070.0       0.32     187.92        1.2        139       1643        915        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1075.0       0.33     180.27        1.2        139       1295        910        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1080.0       0.34     177.40        1.9        139       1856        904        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1085.0       0.33     184.55        1.0        139       1886        902        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1090.0       0.33     183.23        1.9        139       1766        901        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1095.0       0.31     193.59        1.1        139       1691        894        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1100.0       0.36     168.51        2.0        139       1545        885        678        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1105.0       0.34     175.02        3.5        139       1695        914        694        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1110.0       0.31     194.13        3.3        139       1736        928        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1115.0       0.33     179.58        3.5        139       1733        919        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1120.0       0.33     182.58        3.0        139       1704        919        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1125.0       0.36     165.51        2.3        139       1711        916        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1130.0       0.34     176.76        2.5        139       1409        931        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1135.0       0.30     200.75        5.0        139       1844        930        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1140.0       0.28     210.79        4.9        139       1884        934        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1145.0       0.43     139.64        4.2        122       1649        909        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1150.0       0.30     200.39        3.2        141       1960        908        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1155.0       0.29     208.04        3.8        141       1926        918        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1160.0       0.30     200.72        3.4        141       1660        928        699        0.0          0          0          0          0          0          0          0       0.02          0          0 
