 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
    1060.0     146.54       0.41        1.2        148       3507       1676        743        4.7        591          0          0          0          0          0          0 
    1065.0     170.14       0.35        1.3        150       3184       1673        743        2.4        430          0          0          0          0          0          0 
    1070.0     166.45       0.36        2.9        150       3368       1680        743        2.3        430          0          0          0          0          0          0 
    1075.0     174.41       0.34        3.2        150       3468       1679        743        2.0        366          0          0          0          0          0          0 
    1080.0     177.25       0.34        2.2        150       3450       1675        743        1.6        296          0          0          0          0          0          0 
    1085.0     171.85       0.35        2.4        150       2946       1677        743        2.4        364          0          0          0          0          0          0 
    1090.0     158.26       0.38        0.9        138       2608       1672        743        4.2        739          0          0          0          0          0          0 
    1095.0     169.55       0.35        0.5        149       3352       1689        743        3.0        564          0          0          0          0          0          0 
    1100.0     173.25       0.35        2.8        149       2520       1674        743        3.2        592          0          0          0          0          0          0 
    1105.0     170.86       0.35        2.9        149       2830       1670        743        3.2        605          0          0          0          0          0          0 
    1110.0     170.76       0.35        3.9        149       2274       1672        743        2.7        516          0          0          0          0          0          0 
    1115.0     177.10       0.34        5.2        149       2846       1683        743        2.2        466          0          0          0          0          0          0 
    1120.0     159.11       0.38        4.7        146       2901       1644        743        5.1        994          0          0          0          0          0          0 
    1125.0     108.38       0.55        4.1        129       4197       1607        743       12.3       2305          0          0          0          0          0          0 
    1130.0     169.52       0.35        2.0        148       2961       1617        743       14.5       2793          0          0          0          0          0          0 
    1135.0     174.63       0.34        1.4        148       2700       1606        743       14.2       2746          0          0          0          0          0          0 
    1140.0     169.53       0.35        1.1        149       2766       1626        743       14.0       2704         10          0          0          0          0          0 
    1145.0     175.95       0.34        4.4        149       2536       1616        743       12.1       2487          0          0          0          0          0          0 
    1150.0     172.79       0.35        3.4        149       2546       1622        743        4.6        884          0          0          0          0          0          0 
    1155.0     157.89       0.38        1.1        148       2862       1570        743       10.0       1845          0          0          0          0          0          0 
    1160.0     171.14       0.35        0.3        149       2811       1545        743        8.0       1529          0          0          0          0          0          0 
    1165.0     171.36       0.35        2.1        149       2677       1560        743        7.3       1397          0          0          0          0          0          0 
    1170.0     168.93       0.36        3.5        149       2846       1557        743        7.2       1344          0          0          0          0          0          0 
    1175.0     178.63       0.34        4.1        149       3339       1555        743        7.2       1359          0          0          0          0          0          0 
    1180.0     170.71       0.35        4.3        149       2774       1545        743        5.0        660          0          0          0          0          0          0 
