 Bit Depth   ROP ft/hr       ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
    1160.0     133.90       0.45        3.4        111       3207       1699        771       10.6       2128          0          0          0          0          0          0 
    1165.0     199.30       0.30        1.6        118       2716       1690        771       12.4       2331          0          0          0          0          0          0 
    1170.0     209.19       0.29        0.8        118       2738       1679        771       14.4       2717          0          0          0          0          0          0 
    1175.0     211.78       0.28        2.2        118       2538       1676        771       15.2       3045          0          0          0          0          0          0 
    1180.0     185.75       0.32        5.5        118       3859       1684        771       15.2       3045         10          0          0          0          0          0 
    1185.0     174.87       0.34        4.0        125       3482       1670        771       14.9       3016          0          0          0          0          0          0 
    1190.0     214.86       0.28        4.0        129       4065       1689        773        8.2       1796          0          0          0          0          0          0 
    1195.0     238.54       0.25        4.6        129       3978       1694        773        7.8       1547          0          0          0          0          0          0 
    1200.0     226.28       0.27        5.7        129       4086       1695        773        7.9       1546          0          0          0          0          0          0 
    1205.0     230.84       0.26        4.3        129       3720       1684        773        8.7       1749          0          0          0          0          0          0 
    1210.0     238.52       0.25        2.9        129       3370       1685        773       10.5       1908          0          0          0          0          0          0 
    1215.0     207.43       0.29        2.3        131       3264       1678        773       15.9       3209         12          0          0          0          0          0 
    1220.0     227.90       0.26        0.9        134       3581       1643        773        6.0       1189          0          0          0          0          0          0 
    1225.0     232.00       0.26        1.7        134       4263       1690        773       13.8       1907          0          0          0          0          0          0 
    1230.0     235.43       0.25        2.5        134       4307       1693        773       21.3       3982          0          0          0          0          0          0 
    1235.0     205.38       0.29        3.6        134       4205       1690        773       26.7       5319         15          0          0          0          0          0 
    1240.0     222.42       0.27        4.6        134       3096       1698        773       26.8       5470         17          0          0          0          0          0 
    1245.0     237.91       0.25        3.5        134       3423       1700        773       25.9       5470         17          0          0          0          0          0 
    1250.0     217.20       0.28        1.4        134       3263       1690        773       13.8       2543          0          0          0          0          0          0 
    1255.0     224.65       0.27        1.1        134       3484       1697        773       12.7       2401          0          0          0          0          0          0 
    1260.0     218.42       0.27        3.3        135       4009       1698        773       13.8       2543          0          0          0          0          0          0 
    1265.0     227.90       0.26        2.6        134       3914       1704        773       15.0       3016          0          0          0          0          0          0 
    1270.0     218.00       0.28        3.5        134       4073       1709        773       15.0       3016          0          0          0          0          0          0 
    1275.0     216.28       0.28        4.7        134       3861       1698        773       14.9       3016         11          0          0          0          0          0 
    1280.0     206.80       0.29        4.5        134       3522       1702        773       15.0       3016          0          0          0          0          0          0 
    1285.0     224.64       0.27        5.3        134       3704       1716        773       14.0       2705         10          0          0          0          0          0 
    1290.0     207.44       0.29        6.9        134       4387       1724        773       13.9       2705         10          0          0          0          0          0 
    1295.0     210.94       0.28        7.3        134       4532       1722        773       11.6       2351          0          0          0          0          0          0 
    1300.0     225.61       0.27        7.2        134       4248       1727        773       10.7       2351          0          0          0          0          0          0 
    1305.0     233.47       0.26        3.6        134       3193       1730        773       11.7       2275          0          0          0          0          0          0 
    1310.0     207.77       0.29        5.0        136       4122       1703        773       13.0       2643          0          0          0          0          0          0 
    1315.0     231.99       0.26        4.3        139       3994       1676        773       12.1       2401          0          0          0          0          0          0 
    1320.0     229.88       0.26        5.2        139       4283       1770        773       13.4       2705          0          0          0          0          0          0 
    1325.0     235.34       0.25        4.8        139       4162       1762        773       11.9       2705          0          0          0          0          0          0 
    1330.0     232.84       0.26        4.2        139       3748       1761        773       18.6       3205         10          0          0          0          0          0 
    1335.0     237.83       0.25        3.7        139       3503       1769        772       20.7       4260         13          0          0          0          0          0 
    1340.0     219.28       0.27        5.1        139       3969       1761        773       27.2       5635         13          0          0          0          0          0 
    1345.0     237.19       0.25        4.1        139       4401       1774        772       14.9       2997         11          0          0          0          0          0 
    1350.0     229.46       0.26        3.9        139       4227       1791        772       13.3       2833         10          0          0          0          0          0 
    1355.0     238.89       0.25        4.1        139       4290       1805        772       10.1       1964          0          0          0          0          0          0 
