 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     990.0      99.67       0.60        3.7         60       2737       1632        722        3.0        656          0          0          0          0          0          0 
     995.0     119.70       0.50        2.8         59       2552       1642        722        2.4        501          0          0          0          0          0          0 
    1000.0     153.24       0.39        2.8         59       2978       1654        722        1.8        364          0          0          0          0          0          0 
    1005.0     120.85       0.50        3.2         59       2912       1649        722        3.6        666          0          0          0          0          0          0 
    1010.0     127.22       0.47        3.1         59       2980       1651        722        4.2        781          0          0          0          0          0          0 
    1015.0     107.26       0.56        2.6         59       2825       1650        722        4.2        781          0          0          0          0          0          0 
    1020.0     117.78       0.51        3.0         59       2872       1646        722        4.8        882          0          0          0          0          0          0 
    1025.0     118.22       0.51        0.9         59       2325       1643        722        5.4       1007          0          0          0          0          0          0 
    1030.0     154.47       0.39        1.1         59       2768       1658        722        4.2        816          0          0          0          0          0          0 
    1035.0     130.95       0.46        2.5         59       2683       1661        722        3.8        750          0          0          0          0          0          0 
    1040.0     105.77       0.57        2.1         59       2520       1655        722        4.8        912          0          0          0          0          0          0 
    1045.0     151.54       0.40        2.3         59       2808       1657        722        5.9       1125          0          0          0          0          0          0 
    1050.0     123.83       0.48        2.5         59       2635       1651        722        5.6       1123          0          0          0          0          0          0 
    1055.0      89.36       0.67        4.5         59       2382       1658        722        7.3       1432          0          0          0          0          0          0 
    1060.0     130.99       0.46        6.4         60       2558       1662        722        1.5        244          0          0          0          0          0          0 
    1065.0     135.89       0.44        4.4         60       2781       1673        722        2.8        554          0          0          0          0          0          0 
    1070.0     101.87       0.59        3.8         60       2649       1677        722        6.2       1073          0          0          0          0          0          0 
    1075.0     141.27       0.42        5.2         60       3470       1681        722        6.6       1245          0          0          0          0          0          0 
    1080.0      52.78       1.14        9.1         58       3959       1665        722        7.0       1352          0          0          0          0          0          0 
    1085.0      36.38       1.65       12.0         60       4880       1666        722        6.7       1327          0          0          0          0          0          0 
    1090.0     148.92       0.40        5.6         60       4194       1837        767        1.7        402          0          0          0          0          0          0 
    1095.0     194.35       0.31        4.7         65       4172       1885        776        1.6        402          0          0          0          0          0          0 
    1100.0     178.90       0.34        4.2         70       3444       1894        776        3.1        436          0          0          0          0          0          0 
